Date,Rented,Hour,Temperature,Humidity(%),Wind_Speed,Visibility (10m),Dew point temperature(蚓),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
13/01/2018,251,15,-1.5,62,0.9,957,-7.8,0.28,0,0,Winter,No Holiday,Yes
13/01/2018,249,16,-1.2,63,0.9,876,-7.3,0.19,0,0,Winter,No Holiday,Yes
13/01/2018,277,17,-1.4,68,1,761,-6.5,0.11,0,0,Winter,No Holiday,Yes
13/01/2018,223,18,-2.6,73,1,684,-6.7,0.01,0,0,Winter,No Holiday,Yes
13/01/2018,167,19,-3.3,76,0.8,633,-6.9,0,0,0,Winter,No Holiday,Yes
13/01/2018,158,20,-3.9,78,1.1,596,-7.1,0,0,0,Winter,No Holiday,Yes
13/01/2018,156,21,-4.1,79,0.7,522,-7.2,0,0,0,Winter,No Holiday,Yes
13/01/2018,168,22,-4.3,81,0.4,435,-7,0,0,0,Winter,No Holiday,Yes
13/01/2018,131,23,-4.4,81,0.7,420,-7.1,0,0,0,Winter,No Holiday,Yes
14/01/2018,149,0,-4.4,81,0.7,414,-7.1,0,0,0,Winter,No Holiday,Yes
14/01/2018,150,1,-3.7,79,0.9,438,-6.8,0,0,0,Winter,No Holiday,Yes
14/01/2018,111,2,-3.5,78,1,444,-6.7,0,0,0,Winter,No Holiday,Yes
14/01/2018,79,3,-3.6,78,1.6,471,-6.8,0,0,0,Winter,No Holiday,Yes
14/01/2018,48,4,-4,79,1.2,453,-7.1,0,0,0,Winter,No Holiday,Yes
14/01/2018,29,5,-4.2,79,1.2,442,-7.3,0,0,0,Winter,No Holiday,Yes
14/01/2018,49,6,-4.3,79,1.1,433,-7.4,0,0,0,Winter,No Holiday,Yes
14/01/2018,59,7,-4.4,80,1.4,411,-7.3,0,0,0,Winter,No Holiday,Yes
14/01/2018,81,8,-3.8,79,0.8,412,-6.9,0,0,0,Winter,No Holiday,Yes
14/01/2018,118,9,-3.4,77,1.6,432,-6.8,0.12,0,0,Winter,No Holiday,Yes
14/01/2018,134,10,-2.1,72,1.7,489,-6.4,0.34,0,0,Winter,No Holiday,Yes
14/01/2018,174,11,-0.5,64,0.7,537,-6.4,0.49,0,0,Winter,No Holiday,Yes
14/01/2018,226,12,1.2,58,0.8,550,-6.1,0.74,0,0,Winter,No Holiday,Yes
14/01/2018,272,13,3,52,1.4,568,-5.9,0.9,0,0,Winter,No Holiday,Yes
14/01/2018,304,14,3.7,53,0.6,592,-5,0.74,0,0,Winter,No Holiday,Yes
14/01/2018,353,15,4.6,50,0.9,824,-4.9,0.62,0,0,Winter,No Holiday,Yes
14/01/2018,366,16,5.3,49,1.8,982,-4.5,0.43,0,0,Winter,No Holiday,Yes
14/01/2018,302,17,4.5,51,1.1,1244,-4.7,0.17,0,0,Winter,No Holiday,Yes
14/01/2018,250,18,4.1,53,1.3,1132,-4.6,0,0,0,Winter,No Holiday,Yes
14/01/2018,208,19,3.9,54,1.1,1102,-4.5,0,0,0,Winter,No Holiday,Yes
14/01/2018,210,20,3.5,55,1,1100,-4.7,0,0,0,Winter,No Holiday,Yes
14/01/2018,213,21,3.1,58,0.4,936,-4.3,0,0,0,Winter,No Holiday,Yes
14/01/2018,196,22,2.8,60,0.6,829,-4.2,0,0,0,Winter,No Holiday,Yes
14/01/2018,144,23,2.7,60,0.6,794,-4.3,0,0,0,Winter,No Holiday,Yes
15/01/2018,171,0,3,60,0.5,842,-4,0,0,0,Winter,No Holiday,Yes
15/01/2018,122,1,3,62,0.9,835,-3.5,0,0,0,Winter,No Holiday,Yes
15/01/2018,74,2,3.6,65,0.9,959,-2.3,0,0,0,Winter,No Holiday,Yes
15/01/2018,58,3,4.4,70,1.7,928,-0.6,0,0,0,Winter,No Holiday,Yes
15/01/2018,38,4,4.9,73,1.8,881,0.4,0,0,0,Winter,No Holiday,Yes
15/01/2018,55,5,5,76,1.9,808,1.1,0,0,0,Winter,No Holiday,Yes
15/01/2018,82,6,4.9,83,3,582,2.2,0,0,0,Winter,No Holiday,Yes
15/01/2018,209,7,4.4,87,1,357,2.4,0,0,0,Winter,No Holiday,Yes
15/01/2018,444,8,4.1,85,1.1,470,1.7,0,0,0,Winter,No Holiday,Yes
15/01/2018,303,9,3.9,86,1.7,399,1.7,0.11,0.2,0,Winter,No Holiday,Yes
15/01/2018,212,10,4.2,82,2.2,560,1.3,0.22,0,0,Winter,No Holiday,Yes
15/01/2018,254,11,4.7,75,2.3,533,0.6,0.54,0,0,Winter,No Holiday,Yes
15/01/2018,311,12,6.2,64,1.9,549,-0.1,0.79,0,0,Winter,No Holiday,Yes
15/01/2018,309,13,6.1,61,2.3,534,-0.8,0.91,0,0,Winter,No Holiday,Yes
15/01/2018,306,14,7.1,52,2.1,646,-2.1,0.76,0,0,Winter,No Holiday,Yes
15/01/2018,349,15,7.4,38,1.7,817,-6,0.63,0,0,Winter,No Holiday,Yes
15/01/2018,365,16,7.5,37,0.9,813,-6.2,0.48,0,0,Winter,No Holiday,Yes
15/01/2018,455,17,6.5,40,0.8,804,-6.1,0.23,0,0,Winter,No Holiday,Yes
15/01/2018,555,18,5.2,44,1.3,647,-6,0,0,0,Winter,No Holiday,Yes
15/01/2018,444,19,4.4,53,1.2,538,-4.3,0,0,0,Winter,No Holiday,Yes
15/01/2018,321,20,3.7,58,1.3,474,-3.8,0,0,0,Winter,No Holiday,Yes
15/01/2018,334,21,3.4,59,0.8,471,-3.8,0,0,0,Winter,No Holiday,Yes
15/01/2018,333,22,3,61,1.6,460,-3.8,0,0,0,Winter,No Holiday,Yes
15/01/2018,230,23,2.4,63,0.6,443,-3.9,0,0,0,Winter,No Holiday,Yes
16/01/2018,212,0,1.8,67,1.2,387,-3.6,0,0,0,Winter,No Holiday,Yes
16/01/2018,207,1,1.2,64,0.7,455,-4.8,0,0,0,Winter,No Holiday,Yes
16/01/2018,141,2,0.5,72,0.7,385,-3.9,0,0,0,Winter,No Holiday,Yes
16/01/2018,81,3,0.3,70,0.6,438,-4.5,0,0,0,Winter,No Holiday,Yes
16/01/2018,51,4,0.8,65,0.7,502,-5,0,0,0,Winter,No Holiday,Yes
16/01/2018,58,5,1.1,64,0.5,505,-4.9,0,0,0,Winter,No Holiday,Yes
16/01/2018,140,6,1.2,69,0.6,436,-3.8,0,0,0,Winter,No Holiday,Yes
16/01/2018,318,7,1.1,69,0.6,418,-3.9,0,0,0,Winter,No Holiday,Yes
16/01/2018,650,8,1.2,68,0.6,411,-4,0,0,0,Winter,No Holiday,Yes
16/01/2018,376,9,1.9,65,0.8,402,-3.9,0.06,0,0,Winter,No Holiday,Yes
16/01/2018,221,10,2.7,60,0.5,392,-4.3,0.18,0,0,Winter,No Holiday,Yes
16/01/2018,256,11,3.9,57,0.8,363,-3.8,0.28,0,0,Winter,No Holiday,Yes
16/01/2018,276,12,5.2,52,1.2,349,-3.8,0.45,0,0,Winter,No Holiday,Yes
16/01/2018,296,13,5.8,47,0.8,382,-4.6,0.53,0,0,Winter,No Holiday,Yes
16/01/2018,276,14,6.5,43,0.8,468,-5.2,0.52,0,0,Winter,No Holiday,Yes
16/01/2018,250,15,6.3,40,0.3,498,-6.3,0.19,0,0,Winter,No Holiday,Yes
16/01/2018,277,16,5.8,50,0.9,547,-3.8,0.11,0,0,Winter,No Holiday,Yes
16/01/2018,381,17,5.2,58,0.8,462,-2.4,0.08,0,0,Winter,No Holiday,Yes
16/01/2018,592,18,4.9,59,1.4,427,-2.4,0,0,0,Winter,No Holiday,Yes
16/01/2018,409,19,4.6,57,1,432,-3.2,0,0,0,Winter,No Holiday,Yes
16/01/2018,332,20,4.5,58,0.8,383,-3,0,0,0,Winter,No Holiday,Yes
