Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Parental_Education_Level,Gender,Exam_Score
23,84,Low,High,No,7,73,Low,0,Low,Medium,Public,Positive,3,High School,Male,67
19,64,Low,Medium,No,8,59,Low,2,Medium,Medium,Public,Negative,4,College,Female,61
24,98,Medium,Medium,Yes,7,91,Medium,2,Medium,Medium,Public,Neutral,4,Postgraduate,Male,74
29,89,Low,Medium,Yes,8,98,Medium,1,Medium,Medium,Public,Negative,4,High School,Male,71
19,92,Medium,Medium,Yes,6,65,Medium,3,Medium,High,Public,Neutral,4,College,Female,70
19,88,Medium,Medium,Yes,8,89,Medium,3,Medium,Medium,Public,Positive,3,Postgraduate,Male,71
29,84,Medium,Low,Yes,7,68,Low,1,Low,Medium,Private,Neutral,2,High School,Male,67
25,78,Low,High,Yes,6,50,Medium,1,High,High,Public,Negative,2,High School,Male,66
17,94,Medium,High,No,6,80,High,0,Medium,Low,Private,Neutral,1,College,Male,69
23,98,Medium,Medium,Yes,8,71,Medium,0,High,High,Public,Positive,5,High School,Male,72
17,80,Low,High,No,8,88,Medium,4,Medium,High,Private,Neutral,4,College,Male,68
17,97,Medium,High,Yes,6,87,Low,2,Low,High,Private,Neutral,2,High School,Male,71
21,83,Medium,Medium,Yes,8,97,Low,2,Medium,Medium,Public,Positive,4,High School,Male,70
9,82,Medium,Medium,Yes,8,72,Medium,2,Medium,Medium,Private,Positive,3,Postgraduate,Male,66
10,78,Medium,High,Yes,8,74,Medium,1,Low,Medium,Private,Neutral,4,Postgraduate,Male,65
17,68,Medium,Medium,No,8,70,Medium,2,Medium,Medium,Private,Positive,4,High School,Female,64
14,60,Medium,Low,Yes,10,65,Low,0,High,Medium,Private,Positive,3,College,Male,60
22,70,Low,Medium,Yes,6,82,Medium,1,Low,High,Public,Neutral,3,High School,Female,65
15,80,Medium,Medium,Yes,9,91,Low,3,Low,Medium,Public,Positive,2,College,Female,67
12,75,Medium,High,Yes,7,58,Medium,3,Medium,Medium,Private,Positive,4,College,Male,66
29,78,Medium,Medium,No,5,99,High,0,High,Medium,Public,Negative,1,High School,Female,69
19,99,Medium,High,No,6,84,Medium,1,Medium,High,Public,Neutral,3,High School,Male,72
20,74,Medium,High,No,8,89,Low,1,Medium,Medium,Public,Negative,2,College,Female,66
11,78,High,Medium,Yes,8,100,High,1,Low,Medium,Public,Neutral,3,High School,Male,66
17,65,Low,High,Yes,5,75,Medium,2,Low,Medium,Public,Positive,3,High School,Female,63
21,62,High,Low,Yes,6,54,High,0,High,High,Public,Positive,3,Postgraduate,Male,64
13,91,Low,Medium,No,6,90,Medium,1,High,Medium,Public,Negative,2,High School,Female,65
22,83,High,High,Yes,6,94,Medium,0,High,Medium,Public,Neutral,2,College,Male,71
16,90,Medium,Medium,No,4,58,Medium,1,Low,Medium,Public,Neutral,3,High School,Female,66
18,66,High,High,No,4,51,Low,2,Low,Medium,Private,Neutral,2,College,Male,64
16,83,Low,Medium,No,6,57,Medium,0,High,Low,Public,Positive,4,High School,Female,63
31,70,Medium,High,Yes,7,66,Medium,1,High,Medium,Public,Negative,3,College,Male,69
20,69,Medium,Medium,Yes,8,96,Medium,2,Medium,High,Public,Positive,3,High School,Male,67
14,60,High,Medium,No,5,50,Medium,2,Medium,Medium,Public,Neutral,3,College,Female,61
25,65,High,Medium,No,5,90,Medium,2,Medium,Medium,Public,Positive,3,College,Female,68
13,72,Low,Medium,No,6,93,Low,1,Low,Medium,Public,Negative,3,High School,Male,61
21,65,Medium,Low,Yes,7,91,Low,2,Medium,High,Public,Positive,3,High School,Female,64
8,99,Medium,Medium,No,9,54,Low,2,Low,Medium,Public,Neutral,5,Postgraduate,Female,67
12,72,Low,Medium,Yes,8,84,Medium,1,Low,Medium,Public,Positive,5,High School,Female,63
21,65,Low,Medium,Yes,6,98,Low,1,Medium,High,Public,Negative,4,High School,Male,64
24,68,High,Medium,No,8,56,Low,3,High,High,Public,Neutral,1,College,Male,67
21,84,Medium,Medium,Yes,6,52,Low,1,Medium,High,Public,Neutral,2,College,Female,65
19,63,Low,High,No,7,94,Medium,1,Medium,Medium,Private,Positive,3,High School,Male,64
18,94,Medium,High,Yes,7,82,Medium,3,Medium,Medium,Private,Negative,2,College,Male,70
11,98,Medium,Medium,Yes,9,82,Low,1,Medium,Medium,Private,Positive,3,Postgraduate,Male,68
16,70,Medium,Medium,Yes,8,98,Medium,2,Medium,Medium,Public,Positive,3,High School,Male,65
17,78,Medium,Medium,Yes,6,88,Medium,1,Medium,High,Private,Positive,3,College,Female,68
26,61,Medium,Low,Yes,6,70,Medium,2,Low,Medium,Public,Positive,3,High School,Female,64
22,86,Low,Medium,Yes,7,72,Low,3,Low,High,Public,Positive,2,High School,Male,68
9,77,Medium,Medium,No,5,57,Medium,2,Medium,High,Public,Neutral,3,High School,Male,63
22,71,Low,Medium,Yes,7,65,Low,1,Medium,Low,Public,Positive,4,College,Male,64
18,68,High,Medium,No,7,72,Medium,0,Medium,Medium,Public,Neutral,3,College,Male,64
16,86,Low,Medium,Yes,8,63,Medium,2,Medium,Medium,Public,Positive,4,High School,Male,67
24,77,High,Low,No,8,96,Medium,0,Medium,Medium,Public,Neutral,3,High School,Female,67
26,67,Medium,High,Yes,7,51,Low,2,High,High,Private,Neutral,4,Postgraduate,Female,66
26,88,Medium,High,Yes,5,79,Medium,1,Low,High,Private,Positive,4,College,Male,72
15,83,Medium,High,No,5,89,Low,1,Medium,High,Public,Neutral,2,High School,Female,65
18,94,Medium,Medium,Yes,6,87,High,1,Medium,Medium,Public,Positive,4,High School,Male,71
22,65,High,Low,No,8,82,Medium,2,Medium,High,Public,Positive,1,Postgraduate,Female,66
26,91,Medium,Low,Yes,8,71,Medium,0,Low,Medium,Private,Neutral,3,High School,Male,68
17,87,Medium,Medium,No,7,96,Medium,1,High,Medium,Public,Negative,5,Postgraduate,Female,70
19,65,Medium,Medium,Yes,10,66,Low,0,Low,Medium,Public,Positive,3,High School,Male,62
13,88,Low,High,Yes,9,88,High,2,Low,High,Private,Negative,4,Postgraduate,Male,68
13,78,Medium,High,Yes,9,96,High,2,Low,Medium,Public,Neutral,3,College,Male,67
25,98,Low,High,Yes,8,56,Medium,0,Medium,High,Private,Neutral,3,Postgraduate,Male,71
28,66,Medium,High,Yes,8,97,Medium,0,Medium,Medium,Public,Neutral,2,High School,Male,68
20,86,Medium,Medium,Yes,8,89,Medium,1,Low,Medium,Public,Negative,3,Postgraduate,Male,69
26,75,Low,High,Yes,4,81,High,3,Medium,High,Private,Positive,2,High School,Male,70
22,98,Medium,High,No,5,69,Low,1,Low,High,Public,Negative,4,High School,Female,69
16,73,Medium,Medium,No,7,95,Medium,1,Low,Medium,Public,Negative,4,College,Male,65
22,98,Medium,Low,Yes,7,52,Medium,3,Medium,Medium,Public,Positive,3,College,Female,70
29,96,Medium,Low,Yes,7,72,Medium,1,Low,Medium,Public,Positive,3,High School,Male,71
20,71,Medium,Medium,Yes,7,88,Medium,1,Low,Low,Public,Neutral,4,College,Female,65
29,92,Low,Medium,No,4,91,Medium,2,Medium,Medium,Public,Negative,1,Postgraduate,Female,72
4,100,High,High,Yes,8,60,High,0,Medium,High,Private,Positive,4,College,Male,69
25,70,Medium,Medium,No,7,52,Medium,1,Medium,Medium,Public,Positive,3,Postgraduate,Female,66
21,77,Low,Medium,Yes,7,90,Medium,4,Medium,Medium,Private,Neutral,3,Postgraduate,Male,68
18,81,High,Low,Yes,8,71,Medium,0,Medium,Medium,Public,Neutral,3,High School,Female,65
21,72,Medium,Medium,Yes,5,57,Medium,1,High,Medium,Public,Neutral,5,College,Male,64
