n_tokens_title,n_tokens_content,n_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,title_subjectivity,title_sentiment_polarity,shares
12,219,0.663594467,4,2,1,0,4.680365297,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,496,1,0,0,0,0,0,0,0,0.5216171455,0.09256198347,0.04566210046,0.01369863014,0.7692307692,0.2307692308,0.5,-0.1875,593
9,255,0.6047430806,3,1,1,0,4.91372549,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3412457912,0.1489478114,0.0431372549,0.01568627451,0.7333333333,0.2666666667,0,0,711
9,211,0.5751295307,3,1,1,0,4.393364929,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,918,1,0,0,0,0,0,0,0,0.7022222222,0.3233333333,0.05687203791,0.009478672986,0.8571428571,0.1428571429,0,0,1500
9,531,0.5037878778,9,0,1,0,4.404896422,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4298496874,0.1007046657,0.04143126177,0.02071563089,0.6666666667,0.3333333333,0,0,1200
13,1072,0.415645617,19,19,20,0,4.682835821,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5135021229,0.2810034757,0.07462686567,0.01212686567,0.8602150538,0.1397849462,0.4545454545,0.1363636364,505
10,370,0.5598885778,2,2,0,0,4.359459459,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8500,1,0,0,0,0,0,0,0,0.4374086487,0.07118419215,0.02972972973,0.02702702703,0.5238095238,0.4761904762,0.6428571429,0.2142857143,855
8,960,0.4181626184,21,20,20,0,4.654166667,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5144803008,0.2683027242,0.08020833333,0.01666666667,0.8279569892,0.1720430108,0,0,556
12,989,0.433573635,20,20,20,0,4.617795753,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5434742341,0.2986134699,0.0839231547,0.01516683519,0.8469387755,0.1530612245,1,0.5,891
11,97,0.6701030859,2,0,0,0,4.855670103,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5388888889,0.1611111111,0.03092783505,0.0206185567,0.6,0.4,0.125,0,3600
10,231,0.6363636336,4,1,1,1,5.090909091,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3138888889,0.05185185185,0.03896103896,0.0303030303,0.5625,0.4375,0,0,710
9,1248,0.4900497508,11,0,1,0,4.617788462,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4820598131,0.1023501457,0.03846153846,0.02083333333,0.6486486486,0.3513513514,0,0,2200
10,187,0.6666666631,7,0,1,0,4.657754011,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4771645022,0.15,0.02673796791,0.01069518717,0.7142857143,0.2857142857,0,0,1900
9,274,0.6091954,18,2,11,0,4.233576642,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13450,1,0,0,0,0,0,0,0,0.5349500294,0.1007275132,0.05109489051,0.02919708029,0.6363636364,0.3636363636,1,-1,823
